Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Avellino,24,8.0,207,25.88,152,19,9,13,9,5,19,2.37,11,3,1,2,2,0
vs Bari,24,8.0,232,29.0,176,22,7,16,8,3,26,3.25,21,2,0,1,2,0
vs Carrarese,24,8.0,165,20.62,116,17,6,10,13,3,15,1.87,13,0,1,1,0,0
vs Catanzaro,22,8.0,133,16.62,92,13,11,9,4,4,17,2.12,9,3,1,2,2,0
vs Cesena,21,8.0,166,20.75,128,11,8,7,11,1,19,2.37,15,1,0,1,2,0
vs Empoli,24,9.0,214,23.78,143,27,14,12,13,5,27,3.0,17,3,2,2,3,0
vs Frosinone,24,8.0,235,29.37,176,17,8,19,14,1,12,1.5,7,0,0,4,1,0
vs Juve Stabia,23,8.0,135,16.88,99,15,7,6,4,4,14,1.75,9,3,0,1,1,0
vs Mantova,23,8.0,193,24.12,130,23,11,16,7,6,18,2.25,8,3,2,4,1,0
vs Modena,20,9.0,146,16.22,99,15,8,10,11,3,9,1.0,5,0,2,1,1,0
vs Monza,22,8.0,173,21.62,121,15,9,11,12,5,9,1.13,3,2,0,3,1,0
vs Padova,20,8.0,208,26.0,155,18,10,14,10,1,16,2.0,10,1,0,3,1,1
vs Palermo,22,8.0,169,21.12,129,14,7,12,6,1,3,0.37,2,0,0,1,0,0
vs Pescara,29,8.0,210,26.25,151,19,11,18,8,3,29,3.62,25,1,1,0,2,0
vs Reggiana,25,8.0,213,26.62,146,26,12,21,6,2,20,2.5,18,1,0,0,1,0
vs Sampdoria,24,8.0,158,19.75,108,13,9,15,11,2,24,3.0,14,4,0,3,3,0
vs Spezia,22,8.0,157,19.62,113,14,10,7,11,2,25,3.12,12,4,2,3,4,0
vs Südtirol,24,8.0,217,27.12,151,24,10,20,8,4,17,2.12,9,3,2,2,0,1
vs Venezia,24,8.0,154,19.25,120,14,4,12,4,0,9,1.13,8,0,0,1,0,0
vs Virtus Entella,22,8.0,181,22.62,132,14,8,12,14,1,16,2.0,8,2,1,2,3,0
