Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Avellino,24,8.0,98,53,37,44,17,41,91,45.1,50,80,24,56,51,149,150,4
vs Bari,24,8.0,133,73,57,59,17,56,113,49.6,57,76,25,51,55,188,189,5
vs Carrarese,24,8.0,108,72,54,40,14,68,138,49.3,70,95,31,64,50,158,219,1
vs Catanzaro,22,8.0,103,68,48,44,11,43,93,46.2,50,103,32,71,59,162,231,7
vs Cesena,21,8.0,125,68,67,41,17,54,112,48.2,58,72,25,47,64,189,210,3
vs Empoli,24,9.0,131,73,67,49,15,56,122,45.9,66,97,23,74,52,183,273,4
vs Frosinone,24,8.0,101,60,54,37,10,46,113,40.7,67,106,33,73,47,148,200,5
vs Juve Stabia,23,8.0,117,74,58,45,14,53,109,48.6,56,80,30,50,62,179,214,3
vs Mantova,23,8.0,124,75,51,48,25,70,123,56.9,53,100,39,61,58,182,178,5
vs Modena,20,9.0,119,68,78,29,12,59,98,60.2,39,95,34,61,46,165,304,8
vs Monza,22,8.0,112,65,63,43,6,47,88,53.4,41,90,32,58,55,167,193,4
vs Padova,20,8.0,82,51,42,28,12,38,81,46.9,43,86,23,63,50,132,182,3
vs Palermo,22,8.0,99,55,58,32,9,52,87,59.8,35,69,26,43,62,161,246,2
vs Pescara,29,8.0,136,82,65,55,16,66,118,55.9,52,72,18,54,68,204,151,1
vs Reggiana,25,8.0,133,72,64,52,17,76,119,63.9,43,77,32,45,47,180,192,4
vs Sampdoria,24,8.0,100,62,61,28,11,48,97,49.5,49,80,32,48,55,155,257,4
vs Spezia,22,8.0,86,58,43,36,7,32,70,45.7,38,56,20,36,66,152,242,1
vs Südtirol,24,8.0,114,70,71,24,19,52,90,57.8,38,96,44,52,50,164,273,4
vs Venezia,24,8.0,122,58,66,45,11,64,121,52.9,57,76,30,46,36,158,192,1
vs Virtus Entella,22,8.0,101,58,42,49,10,49,84,58.3,35,90,30,60,53,154,207,8
