Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Avellino,24,8.0,11,116,33,28.4,14.5,4.12,0.09,0.3,18.6,3,1,1,7.7,6.9,0.06,3.3,3.1
vs Bari,24,8.0,15,134,47,35.1,16.75,5.87,0.1,0.28,18.1,4,2,2,11.6,10.0,0.08,3.4,3.0
vs Carrarese,24,8.0,8,94,21,22.3,11.75,2.62,0.09,0.38,17.9,7,0,0,7.7,7.7,0.08,0.3,0.3
vs Catanzaro,22,8.0,9,79,23,29.1,9.87,2.87,0.1,0.35,16.8,1,1,1,10.0,9.2,0.12,-1.0,-1.2
vs Cesena,21,8.0,11,93,23,24.7,11.62,2.87,0.11,0.43,19.0,4,1,1,8.8,8.0,0.09,2.2,2.0
vs Empoli,24,9.0,16,118,44,37.3,13.11,4.89,0.11,0.3,18.0,4,3,3,12.1,9.8,0.09,3.9,3.2
vs Frosinone,24,8.0,8,123,40,32.5,15.37,5.0,0.06,0.18,17.7,5,1,4,13.8,10.5,0.09,-5.8,-3.5
vs Juve Stabia,23,8.0,8,78,24,30.8,9.75,3.0,0.09,0.29,17.6,1,1,1,7.7,7.0,0.09,0.3,0.0
vs Mantova,23,8.0,12,113,35,31.0,14.12,4.37,0.11,0.34,16.6,2,0,1,12.0,11.3,0.1,0.0,0.7
vs Modena,20,9.0,5,82,21,25.6,9.11,2.33,0.05,0.19,18.5,2,1,1,7.0,6.2,0.08,-2.0,-2.2
vs Monza,22,8.0,6,100,25,25.0,12.5,3.12,0.06,0.24,21.6,5,0,1,6.6,5.8,0.06,-0.6,0.2
vs Padova,20,8.0,9,112,28,25.0,14.0,3.5,0.07,0.29,17.9,6,1,2,11.0,9.6,0.09,-2.0,-1.6
vs Palermo,22,8.0,2,96,24,25.0,12.0,3.0,0.02,0.08,17.9,2,0,1,7.1,6.2,0.07,-5.1,-4.2
vs Pescara,29,8.0,16,117,44,37.6,14.63,5.5,0.1,0.27,17.3,3,4,4,17.1,14.0,0.13,-1.1,-2.0
vs Reggiana,25,8.0,11,121,39,32.2,15.12,4.87,0.09,0.28,15.7,3,0,0,11.9,11.9,0.1,-0.9,-0.9
vs Sampdoria,24,8.0,13,87,28,32.2,10.87,3.5,0.14,0.43,18.1,6,1,1,9.9,9.1,0.11,3.1,2.9
vs Spezia,22,8.0,13,83,29,34.9,10.37,3.62,0.13,0.38,19.0,2,2,2,9.9,8.3,0.1,3.1,2.7
vs Südtirol,24,8.0,11,123,32,26.0,15.37,4.0,0.08,0.31,17.8,4,1,1,10.6,9.9,0.08,0.4,0.1
vs Venezia,24,8.0,6,91,32,35.2,11.37,4.0,0.07,0.19,16.5,1,0,0,7.9,7.9,0.09,-1.9,-1.9
vs Virtus Entella,22,8.0,11,97,29,29.9,12.12,3.62,0.08,0.28,18.7,5,3,3,10.3,8.0,0.08,0.7,0.0
