Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Angers,23,8.0,125,15.62,95,13,2,9,3,3,8,1.0,7,0,0,0,1,0
Auxerre,22,8.0,143,17.87,107,14,3,9,8,2,10,1.25,7,0,0,1,1,1
Brest,26,8.0,182,22.75,117,21,7,21,13,3,22,2.75,15,1,3,1,2,0
Le Havre,22,8.0,148,18.5,103,8,8,12,15,2,14,1.75,11,0,0,2,1,0
Lens,22,8.0,197,24.62,136,20,12,19,7,3,18,2.25,10,2,0,5,1,0
Lille,27,8.0,239,29.87,180,21,10,19,8,1,26,3.25,20,1,3,2,0,0
Lorient,22,8.0,155,19.37,93,16,9,20,15,2,22,2.75,11,2,5,3,1,0
Lyon,22,8.0,191,23.87,133,17,15,19,4,3,19,2.37,13,2,1,3,0,0
Marseille,28,8.0,219,27.37,169,16,9,11,11,3,36,4.5,27,2,1,3,2,1
Metz,24,8.0,103,12.87,72,9,11,4,5,2,9,1.13,6,1,0,1,1,0
Monaco,26,8.0,164,20.5,126,17,4,10,5,2,25,3.12,21,1,1,1,1,0
Nantes,22,9.0,148,16.44,103,15,7,13,8,2,12,1.33,9,1,0,2,0,0
Nice,26,8.0,184,23.0,147,14,4,14,2,3,18,2.25,15,0,1,2,0,0
Paris FC,24,9.0,210,23.33,162,13,11,14,4,6,23,2.56,17,0,1,4,1,0
Paris S-G,22,8.0,236,29.5,192,14,8,6,14,2,30,3.75,19,3,1,2,4,1
Rennes,25,8.0,183,22.87,139,10,13,14,5,2,16,2.0,13,1,0,2,0,0
Strasbourg,25,8.0,166,20.75,113,12,11,13,10,7,30,3.75,20,0,2,5,2,1
Toulouse,22,8.0,172,21.5,105,26,15,14,6,6,24,3.0,8,5,6,3,2,0
