Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Angers,23,8.0,5422,5061,352,92,17,33,149,148,46,22,17,0,4728,9,69
vs Auxerre,22,8.0,4097,3733,354,113,18,25,113,146,37,14,15,0,3415,10,71
vs Brest,26,8.0,4094,3689,387,105,14,37,165,149,47,28,15,0,3358,18,76
vs Le Havre,22,8.0,4411,4032,367,127,11,22,148,133,26,13,10,0,3747,12,66
vs Lens,22,8.0,4433,4032,394,112,9,16,137,155,43,17,13,0,3680,7,90
vs Lille,27,8.0,3321,2946,364,114,9,20,117,134,32,18,7,0,2626,11,68
vs Lorient,22,8.0,4649,4309,331,110,5,16,137,118,37,10,23,0,4003,9,54
vs Lyon,22,8.0,3216,2843,357,129,12,34,143,115,37,18,10,0,2568,16,69
vs Marseille,28,8.0,3318,2979,324,112,9,22,93,107,25,13,7,2,2763,15,42
vs Metz,24,8.0,4117,3779,325,90,17,18,133,142,43,26,5,0,3537,13,60
vs Monaco,26,8.0,3489,3102,380,114,13,22,136,124,46,16,21,0,2759,7,83
vs Nantes,22,9.0,4949,4493,423,112,15,40,220,172,64,29,18,0,4138,33,77
vs Nice,26,8.0,3716,3346,365,107,16,17,169,129,41,21,11,0,2986,5,52
vs Paris FC,24,9.0,4020,3609,399,109,11,21,148,150,45,13,29,0,3256,12,56
vs Paris S-G,22,8.0,2665,2348,308,79,9,15,74,102,24,11,5,0,2069,9,68
vs Rennes,25,8.0,3832,3449,369,111,10,27,156,143,33,14,13,1,3133,14,68
vs Strasbourg,25,8.0,4416,4048,355,103,5,25,146,145,35,17,8,0,3726,13,81
vs Toulouse,22,8.0,4604,4217,380,115,16,23,130,146,48,23,12,0,3929,7,53
