Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,23,8.0,12,1,0,88,85,13,129,70,98,1,3,0,325,74,84,46.8
Auxerre,22,8.0,20,3,1,103,119,12,115,74,97,1,1,1,336,111,129,46.3
Brest,26,8.0,12,2,0,101,83,8,129,60,95,2,1,0,322,139,129,51.9
Le Havre,22,8.0,14,1,0,122,96,12,193,62,58,2,3,1,314,102,104,49.5
Lens,22,8.0,18,2,1,102,96,15,160,90,92,2,0,0,387,108,112,49.1
Lille,27,8.0,19,0,0,107,109,10,165,81,68,1,1,0,338,113,76,59.8
Lorient,22,8.0,26,1,0,99,118,15,126,78,65,1,5,1,290,95,121,44.0
Lyon,22,8.0,16,1,0,126,106,7,176,60,64,0,0,2,298,90,94,48.9
Marseille,28,8.0,18,1,0,104,78,11,137,42,60,3,0,0,281,86,64,57.3
Metz,24,8.0,8,2,0,90,86,10,113,47,94,2,3,1,310,57,67,46.0
Monaco,26,8.0,17,1,1,101,79,18,150,73,81,1,4,1,350,105,89,54.1
Nantes,22,9.0,13,0,0,105,108,9,116,62,82,1,2,0,336,103,106,49.3
Nice,26,8.0,18,1,1,98,102,14,158,68,71,0,4,0,325,112,116,49.1
Paris FC,24,9.0,12,1,0,98,92,22,172,61,80,1,4,0,363,93,119,43.9
Paris S-G,22,8.0,7,0,0,78,78,4,103,46,85,4,1,1,380,52,59,46.8
Rennes,25,8.0,13,3,0,98,96,18,131,58,69,0,3,0,326,75,72,51.0
Strasbourg,25,8.0,17,2,1,94,99,13,121,51,78,2,1,0,367,73,72,50.3
Toulouse,22,8.0,21,1,0,113,87,9,120,67,81,3,3,0,334,117,92,56.0
