Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,22,7.0,23,0,0,103,73,19,130,73,66,1,2,0,297,118,126,48.4
Bayern Munich,20,7.0,17,0,0,76,82,14,83,65,50,2,0,0,317,48,52,48.0
Dortmund,22,7.0,12,1,0,89,69,13,120,54,48,1,1,0,283,93,74,55.7
Eint Frankfurt,22,7.0,16,0,0,72,72,6,122,62,74,1,1,0,270,88,102,46.3
Freiburg,23,7.0,12,1,0,60,93,16,142,70,54,1,1,0,249,134,142,48.6
Gladbach,23,7.0,16,0,0,94,68,14,155,58,70,0,1,0,282,112,103,52.1
Hamburger SV,25,7.0,16,2,1,95,90,15,108,50,53,0,2,0,271,113,90,55.7
Heidenheim,24,7.0,13,1,0,77,82,14,115,65,54,0,1,0,289,88,118,42.7
Hoffenheim,21,7.0,15,0,0,107,64,11,137,53,75,2,2,0,318,122,117,51.0
Köln,22,7.0,13,0,0,68,78,14,121,57,55,0,2,0,235,136,120,53.1
Leverkusen,24,7.0,23,2,2,75,93,8,82,50,65,3,2,0,276,111,85,56.6
Mainz 05,23,7.0,17,3,1,88,84,21,164,73,54,1,1,0,295,170,143,54.3
RB Leipzig,22,7.0,12,0,0,77,75,13,98,81,67,1,0,0,307,84,98,46.2
St. Pauli,18,7.0,13,0,0,89,83,13,154,56,77,1,2,0,304,79,125,38.7
Stuttgart,22,7.0,11,0,0,75,89,11,152,60,55,2,1,0,282,117,121,49.2
Union Berlin,19,8.0,17,1,0,117,94,14,154,69,72,1,3,0,313,142,166,46.1
Werder Bremen,23,8.0,22,1,1,71,73,11,91,67,74,2,3,1,326,102,93,52.3
Wolfsburg,22,7.0,12,1,1,77,72,2,113,78,70,1,2,0,248,113,95,54.3
