Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,22,7.0,12,79,28,35.4,11.29,4.0,0.14,0.39,18.2,4,1,1,7.4,6.7,0.09,4.6,4.3
Bayern Munich,20,7.0,27,128,59,46.1,18.29,8.43,0.18,0.39,17.4,4,4,4,18.8,15.8,0.13,8.2,7.2
Dortmund,22,7.0,13,80,32,40.0,11.43,4.57,0.16,0.41,15.8,1,0,1,11.7,10.9,0.14,1.3,2.1
Eint Frankfurt,22,7.0,19,93,33,35.5,13.29,4.71,0.19,0.55,17.1,1,1,1,10.9,10.1,0.11,8.1,7.9
Freiburg,23,7.0,10,79,21,26.6,11.29,3.0,0.09,0.33,16.6,3,3,3,10.3,7.9,0.11,-0.3,-0.9
Gladbach,23,7.0,6,92,34,37.0,13.14,4.86,0.07,0.18,17.0,2,0,0,8.1,8.1,0.09,-2.1,-2.1
Hamburger SV,25,7.0,7,89,32,36.0,12.71,4.57,0.08,0.22,17.3,4,0,0,7.9,7.9,0.09,-0.9,-0.9
Heidenheim,24,7.0,6,85,29,34.1,12.14,4.14,0.07,0.21,17.4,6,0,0,10.0,10.0,0.12,-4.0,-4.0
Hoffenheim,21,7.0,12,91,32,35.2,13.0,4.57,0.11,0.31,16.7,2,2,2,11.3,9.7,0.11,0.7,0.3
Köln,22,7.0,12,91,28,30.8,13.0,4.0,0.13,0.43,17.6,3,0,0,9.6,9.6,0.11,2.4,2.4
Leverkusen,24,7.0,16,90,32,35.6,12.86,4.57,0.14,0.41,18.2,6,3,3,13.4,11.1,0.13,2.6,1.9
Mainz 05,23,7.0,8,90,19,21.1,12.86,2.71,0.07,0.32,16.1,3,2,2,9.7,8.2,0.09,-1.7,-2.2
RB Leipzig,22,7.0,10,110,30,27.3,15.71,4.29,0.09,0.33,16.9,6,0,1,12.4,11.6,0.11,-2.4,-1.6
St. Pauli,18,7.0,8,84,30,35.7,12.0,4.29,0.08,0.23,19.4,3,1,2,7.9,6.3,0.08,0.1,0.7
Stuttgart,22,7.0,11,104,37,35.6,14.86,5.29,0.1,0.27,18.0,0,1,2,9.7,8.1,0.08,1.3,1.9
Union Berlin,19,8.0,11,99,27,27.3,12.38,3.38,0.11,0.41,16.3,1,0,1,9.7,8.9,0.1,1.3,2.1
Werder Bremen,23,8.0,12,94,34,36.2,11.75,4.25,0.11,0.29,19.2,5,2,3,11.1,8.7,0.09,0.9,1.3
Wolfsburg,22,7.0,8,95,24,25.3,13.57,3.43,0.07,0.29,17.0,3,1,1,9.9,9.2,0.1,-1.9,-2.2
