Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,22,7.0,138,19.71,100,12,6,7,8,5,20,2.86,15,2,1,1,1,0
Bayern Munich,20,7.0,237,33.86,188,11,11,13,10,4,49,7.0,34,3,4,3,4,1
Dortmund,22,7.0,146,20.86,114,7,11,6,5,3,26,3.71,24,0,2,0,0,0
Eint Frankfurt,22,7.0,169,24.14,128,18,4,5,11,3,33,4.71,29,2,0,1,1,0
Freiburg,23,7.0,143,20.43,100,19,2,9,10,3,14,2.0,9,1,0,2,2,0
Gladbach,23,7.0,160,22.86,122,19,4,6,3,6,10,1.43,8,2,0,0,0,0
Hamburger SV,25,7.0,161,23.0,116,12,11,11,7,4,11,1.57,7,1,0,2,0,1
Heidenheim,24,7.0,152,21.71,105,20,5,10,10,2,11,1.57,8,0,1,1,1,0
Hoffenheim,21,7.0,155,22.14,108,21,8,8,9,1,20,2.86,16,0,1,0,3,0
Köln,22,7.0,156,22.29,111,16,10,12,6,1,21,3.0,18,0,2,1,0,0
Leverkusen,24,7.0,168,24.0,114,12,14,9,15,4,26,3.71,10,2,3,2,7,2
Mainz 05,23,7.0,167,23.86,113,18,9,15,9,3,14,2.0,7,1,2,1,1,2
RB Leipzig,22,7.0,193,27.57,132,20,9,18,12,2,17,2.43,13,0,1,2,1,0
St. Pauli,18,7.0,145,20.71,108,9,6,12,6,4,12,1.71,5,1,1,3,2,0
Stuttgart,22,7.0,195,27.86,152,16,12,6,6,3,20,2.86,16,1,1,1,1,0
Union Berlin,19,8.0,158,19.75,93,28,2,18,14,3,15,1.87,9,1,0,4,1,0
Werder Bremen,23,8.0,169,21.12,135,7,6,9,9,3,23,2.87,17,0,2,2,2,0
Wolfsburg,22,7.0,174,24.86,127,20,6,10,9,2,16,2.29,11,1,0,0,3,1
