Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,22,8.0,9,0,0,83,82,11,169,48,73,2,0,0,310,116,105,52.5
Aston Villa,23,8.0,13,1,0,78,101,13,142,43,69,0,1,0,299,112,104,51.9
Bournemouth,23,8.0,20,0,0,96,84,18,156,72,81,1,1,0,359,127,151,45.7
Brentford,20,8.0,15,0,0,98,68,11,134,56,70,1,2,1,291,136,138,49.6
Brighton,21,8.0,22,0,0,101,94,18,117,59,100,1,1,2,327,99,117,45.8
Burnley,22,8.0,14,1,1,79,66,16,88,90,75,0,2,3,266,120,148,44.8
Chelsea,25,8.0,19,3,1,88,96,17,132,90,81,0,0,0,294,105,83,55.9
Crystal Palace,20,8.0,18,0,0,86,84,12,119,69,107,2,1,0,293,152,146,51.0
Everton,19,8.0,20,0,0,86,99,7,129,64,87,1,2,0,313,172,148,53.8
Fulham,21,8.0,16,0,0,109,85,14,162,51,82,0,3,1,295,92,125,42.4
Leeds United,22,9.0,14,0,0,92,107,9,163,81,103,0,1,1,342,135,156,46.4
Liverpool,22,8.0,15,0,0,73,85,9,174,56,68,0,0,0,297,151,108,58.3
Manchester City,23,8.0,10,0,0,65,88,6,100,52,69,0,1,0,308,115,88,56.7
Manchester Utd,20,8.0,10,1,1,84,92,12,137,55,90,3,0,0,312,137,154,47.1
Newcastle Utd,21,8.0,9,1,0,96,93,6,179,66,65,1,0,0,325,134,114,54.0
Nott'ham Forest,25,8.0,16,0,0,93,87,9,207,62,69,0,3,0,332,95,101,48.5
Sunderland,23,8.0,13,1,0,69,77,9,139,64,74,1,1,0,269,152,148,50.7
Tottenham,20,8.0,17,0,0,95,72,18,185,46,91,0,0,0,329,105,124,45.9
West Ham,25,9.0,14,1,0,97,83,12,163,53,68,1,1,0,321,158,169,48.3
Wolves,23,8.0,14,1,0,108,70,11,164,69,106,0,0,1,318,148,136,52.1
