Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,22,41.8,8.0,3987,654,1728,1568,727,114,3987,114,47,41.2,51,44.7,2088,10838,5495,111,73,34,115,71,2348,192
vs Aston Villa,23,44.1,8.0,4040,470,1411,1688,980,191,4039,118,47,39.8,48,40.7,2138,10623,5240,126,72,46,118,64,2421,226
vs Bournemouth,23,49.5,8.0,4652,596,1736,1903,1062,194,4651,160,66,41.3,69,43.1,2308,12251,6046,122,71,41,121,75,2747,261
vs Brentford,20,58.8,8.0,5289,476,1510,2552,1264,186,5287,124,47,37.9,59,47.6,3062,15425,8322,149,108,33,129,69,3578,299
vs Brighton,21,53.3,8.0,4827,566,1645,2095,1124,173,4826,186,73,39.2,82,44.1,2898,14352,6908,139,93,40,107,77,3156,285
vs Burnley,22,64.9,8.0,5958,415,1467,2764,1772,275,5956,125,60,48.0,58,46.4,3825,20083,11203,239,161,68,96,78,4286,391
vs Chelsea,25,41.4,8.0,4186,544,1537,1750,948,156,4186,140,46,32.9,77,55.0,2340,12080,6173,117,74,33,113,62,2548,260
vs Crystal Palace,20,57.4,8.0,5257,508,1505,2574,1227,173,5256,163,68,41.7,80,49.1,3049,15617,8075,131,114,26,111,92,3535,347
vs Everton,19,55.9,8.0,5296,539,1712,2406,1221,199,5294,137,50,36.5,66,48.2,3031,15221,7804,133,91,38,116,70,3505,317
vs Fulham,21,51.1,8.0,4824,474,1553,2144,1166,188,4821,127,47,37.0,62,48.8,2658,14328,7413,147,93,47,140,82,3168,327
vs Leeds United,22,52.7,9.0,5689,547,1825,2628,1284,156,5688,175,67,38.3,89,50.9,3203,16122,8141,134,99,24,129,81,3755,337
vs Liverpool,22,38.1,8.0,3764,598,1383,1486,935,171,3764,114,49,43.0,51,44.7,1719,9385,4832,111,85,30,111,53,1967,201
vs Manchester City,23,41.3,8.0,4237,542,1458,1814,1008,160,4236,110,41,37.3,59,53.6,2196,11337,5402,112,77,26,138,57,2616,212
vs Manchester Utd,20,49.1,8.0,4641,545,1528,2103,1050,194,4641,141,50,35.5,78,55.3,2458,12220,6262,127,85,36,140,69,2813,273
vs Newcastle Utd,21,50.0,8.0,4627,582,1601,2068,1008,171,4627,133,70,52.6,49,36.8,2643,12707,6314,117,97,35,125,57,2855,284
vs Nott'ham Forest,25,44.8,8.0,4410,595,1640,1804,1013,187,4407,139,64,46.0,58,41.7,2529,13333,7882,139,80,30,106,56,2752,277
vs Sunderland,23,56.5,8.0,5188,506,1585,2256,1390,212,5187,138,43,31.2,78,56.5,2794,14122,7272,137,105,26,112,60,3441,351
vs Tottenham,20,44.8,8.0,4181,589,1548,1703,974,150,4181,137,52,38.0,64,46.7,2111,9928,4928,90,66,28,131,87,2492,242
vs West Ham,25,52.9,9.0,5573,532,1711,2507,1400,255,5572,115,47,40.9,56,48.7,3063,15493,8546,170,114,42,122,65,3678,344
vs Wolves,23,51.4,8.0,4845,495,1465,2161,1271,180,4845,186,72,38.7,100,53.8,2604,13960,7196,138,107,33,134,85,3068,323
