Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,22,8.0,12,0,0,82,80,6,88,60,77,0,2,0,273,105,116,47.5
vs Aston Villa,23,8.0,17,1,0,106,78,21,141,74,101,1,0,0,329,104,112,48.1
vs Bournemouth,23,8.0,16,1,0,90,93,13,139,53,101,1,1,0,335,151,127,54.3
vs Brentford,20,8.0,17,0,0,73,96,13,142,53,82,2,2,0,296,138,136,50.4
vs Brighton,21,8.0,21,1,0,96,100,8,135,57,85,1,3,0,309,117,99,54.2
vs Burnley,22,8.0,10,0,0,69,76,10,232,46,61,1,0,0,295,148,120,55.2
vs Chelsea,25,8.0,19,1,1,99,85,13,133,66,92,0,1,0,286,83,105,44.1
vs Crystal Palace,20,8.0,20,0,0,88,77,9,182,77,55,1,2,0,311,146,152,49.0
vs Everton,19,8.0,15,0,0,102,81,15,125,65,77,0,1,0,311,148,172,46.3
vs Fulham,21,8.0,10,0,0,87,103,18,131,60,62,2,0,2,313,125,92,57.6
vs Leeds United,22,9.0,15,0,0,108,91,9,169,58,88,1,1,0,356,155,136,53.3
vs Liverpool,22,8.0,14,2,1,89,69,11,126,83,84,0,1,0,286,108,151,41.7
vs Manchester City,23,8.0,16,0,0,91,63,16,125,67,104,0,0,2,315,88,115,43.3
vs Manchester Utd,20,8.0,21,1,0,96,80,14,152,61,76,0,3,2,290,154,137,52.9
vs Newcastle Utd,21,8.0,16,1,0,95,92,11,128,79,71,0,1,0,339,114,134,46.0
vs Nott'ham Forest,25,8.0,13,1,1,90,87,8,152,63,72,2,0,0,324,101,95,51.5
vs Sunderland,23,8.0,10,0,0,82,64,9,183,43,69,1,1,1,298,148,152,49.3
vs Tottenham,20,8.0,10,1,0,74,94,9,120,50,91,0,0,1,305,124,105,54.1
vs West Ham,25,9.0,12,0,0,87,97,12,196,63,100,1,1,0,320,168,159,51.4
vs Wolves,23,8.0,14,0,0,72,107,13,160,68,80,0,0,1,309,136,148,47.9
