Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,22,8.0,15,121,32,26.4,15.12,4.0,0.11,0.41,14.8,2,2,2,13.6,12.1,0.1,1.4,0.9
Aston Villa,23,8.0,8,84,25,29.8,10.5,3.12,0.1,0.32,18.1,2,0,0,6.3,6.3,0.08,1.7,1.7
Bournemouth,23,8.0,14,98,35,35.7,12.25,4.37,0.13,0.37,18.2,8,1,1,10.4,9.6,0.1,3.6,3.4
Brentford,20,8.0,11,77,29,37.7,9.62,3.62,0.13,0.34,13.8,0,1,2,10.7,9.1,0.13,0.3,0.9
Brighton,21,8.0,12,92,32,34.8,11.5,4.0,0.11,0.31,19.1,5,2,3,12.1,9.8,0.11,-0.1,0.2
Burnley,22,8.0,9,60,21,35.0,7.5,2.62,0.15,0.43,17.7,4,0,0,5.4,5.4,0.09,3.6,3.6
Chelsea,25,8.0,16,106,36,34.0,13.25,4.5,0.14,0.42,17.1,6,1,1,12.5,11.8,0.11,3.5,3.2
Crystal Palace,20,8.0,12,106,39,36.8,13.25,4.87,0.09,0.26,16.1,0,2,2,17.1,15.6,0.15,-5.1,-5.6
Everton,19,8.0,9,87,25,28.7,10.87,3.12,0.09,0.32,16.2,3,1,1,10.8,10.0,0.12,-1.8,-2.0
Fulham,21,8.0,6,82,19,23.2,10.25,2.37,0.07,0.32,16.3,2,0,0,7.7,7.7,0.1,-1.7,-1.7
Leeds United,22,9.0,9,116,32,27.6,12.89,3.56,0.07,0.25,16.1,3,1,1,11.6,10.9,0.1,-2.6,-2.9
Liverpool,22,8.0,14,121,35,28.9,15.12,4.37,0.11,0.37,17.0,4,1,1,13.6,12.8,0.11,0.4,0.2
Manchester City,23,8.0,15,105,39,37.1,13.12,4.87,0.14,0.38,15.8,1,0,0,14.4,14.4,0.14,0.6,0.6
Manchester Utd,20,8.0,9,119,36,30.3,14.87,4.5,0.07,0.22,15.9,2,1,3,14.9,12.6,0.11,-5.9,-4.6
Newcastle Utd,21,8.0,7,95,27,28.4,11.87,3.38,0.06,0.22,18.5,1,1,1,9.8,9.0,0.1,-2.8,-3.0
Nott'ham Forest,25,8.0,5,92,30,32.6,11.5,3.75,0.05,0.17,16.8,1,0,0,8.7,8.7,0.1,-3.7,-3.7
Sunderland,23,8.0,8,77,20,26.0,9.62,2.5,0.09,0.35,15.7,0,1,1,7.4,6.6,0.09,0.6,0.4
Tottenham,20,8.0,13,87,29,33.3,10.87,3.62,0.15,0.45,15.2,2,0,0,8.2,8.2,0.1,4.8,4.8
West Ham,25,9.0,7,84,28,33.3,9.33,3.11,0.07,0.21,15.8,1,1,1,7.6,6.8,0.08,-0.6,-0.8
Wolves,23,8.0,4,82,26,31.7,10.25,3.25,0.05,0.15,17.3,4,0,0,6.9,6.9,0.09,-2.9,-2.9
