Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,8,8,720,8.0,15,1.87,34,19,61.8,1,1,6,1,12.5,2,2,0,0,0.0
vs Aston Villa,2,8,8,720,8.0,8,1.0,25,17,68.0,2,3,3,4,50.0,0,0,0,0,
vs Bournemouth,1,8,8,720,8.0,14,1.75,36,22,63.9,1,3,4,1,12.5,1,1,0,0,0.0
vs Brentford,1,8,8,720,8.0,11,1.37,31,19,67.7,4,1,3,1,12.5,2,1,1,0,50.0
vs Brighton,1,8,8,720,8.0,12,1.5,35,22,71.4,2,3,3,1,12.5,3,2,1,0,33.3
vs Burnley,1,8,8,720,8.0,9,1.13,21,12,57.1,5,1,2,2,25.0,0,0,0,0,
vs Chelsea,2,8,8,720,8.0,16,2.0,37,21,59.5,2,2,4,1,12.5,1,1,0,0,0.0
vs Crystal Palace,1,8,8,720,8.0,12,1.5,41,29,75.6,1,4,3,2,25.0,2,2,0,0,0.0
vs Everton,1,8,8,720,8.0,9,1.13,26,17,69.2,3,2,3,3,37.5,1,1,0,0,0.0
vs Fulham,1,8,8,720,8.0,8,1.0,19,13,57.9,4,2,2,2,25.0,0,0,0,0,
vs Leeds United,2,9,9,810,9.0,9,1.0,33,24,75.8,4,2,3,4,44.4,1,1,0,0,0.0
vs Liverpool,2,8,8,720,8.0,14,1.75,36,22,63.9,3,0,5,0,0.0,1,1,0,0,0.0
vs Manchester City,2,8,8,720,8.0,17,2.12,39,24,56.4,2,1,5,1,12.5,0,0,0,0,
vs Manchester Utd,2,8,8,718,8.0,11,1.38,38,28,73.7,3,1,4,2,25.0,3,1,1,1,50.0
vs Newcastle Utd,1,8,8,720,8.0,7,0.87,28,21,78.6,3,3,2,3,37.5,1,1,0,0,0.0
vs Nott'ham Forest,1,8,8,720,8.0,5,0.62,30,25,83.3,5,2,1,5,62.5,0,0,0,0,
vs Sunderland,1,8,8,720,8.0,9,1.13,21,13,61.9,2,2,4,3,37.5,1,1,0,0,0.0
vs Tottenham,1,8,8,720,8.0,14,1.75,29,16,51.7,2,2,4,1,12.5,0,0,0,0,
vs West Ham,2,9,9,810,9.0,7,0.78,29,22,79.3,7,1,1,4,44.4,1,1,0,0,0.0
vs Wolves,2,8,8,720,8.0,5,0.62,26,22,80.8,6,2,0,4,50.0,0,0,0,0,
