Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,22,8.0,125,77,75,39,11,66,133,49.6,67,91,39,52,60,185,282,7
vs Aston Villa,23,8.0,175,101,81,72,22,83,127,65.4,44,80,27,53,74,249,231,6
vs Bournemouth,23,8.0,153,101,71,62,20,78,143,54.5,65,106,28,78,53,206,273,6
vs Brentford,20,8.0,134,82,61,51,22,73,125,58.4,52,49,20,29,53,187,239,5
vs Brighton,21,8.0,153,85,80,53,20,74,136,54.4,62,77,20,57,57,210,183,10
vs Burnley,22,8.0,103,61,48,33,22,43,74,58.1,31,73,15,58,46,149,176,1
vs Chelsea,25,8.0,150,92,72,59,19,71,135,52.6,64,83,39,44,66,216,214,8
vs Crystal Palace,20,8.0,102,55,35,47,20,40,73,54.8,33,82,27,55,77,179,231,5
vs Everton,19,8.0,151,77,80,49,22,73,131,55.7,58,80,27,53,65,216,231,5
vs Fulham,21,8.0,115,62,49,50,16,57,107,53.3,50,93,24,69,60,175,209,7
vs Leeds United,22,9.0,153,88,73,57,23,72,123,58.5,51,106,33,73,58,211,221,8
vs Liverpool,22,8.0,140,84,75,51,14,70,124,56.5,54,90,35,55,83,223,248,6
vs Manchester City,23,8.0,163,104,76,64,23,76,167,45.5,91,103,24,79,67,230,161,9
vs Manchester Utd,20,8.0,125,76,59,53,13,59,99,59.6,40,89,29,60,61,186,236,5
vs Newcastle Utd,21,8.0,120,71,56,54,10,65,115,56.5,50,88,31,57,79,199,251,3
vs Nott'ham Forest,25,8.0,121,72,53,44,24,61,121,50.4,60,80,26,54,63,184,221,5
vs Sunderland,23,8.0,112,69,47,47,18,46,95,48.4,49,90,22,68,43,155,221,3
vs Tottenham,20,8.0,166,91,83,63,20,91,170,53.5,79,76,16,60,50,216,260,5
vs West Ham,25,9.0,157,100,67,66,24,81,136,59.6,55,87,22,65,63,220,251,3
vs Wolves,23,8.0,126,80,49,57,20,55,106,51.9,51,75,20,55,68,194,229,7
