Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Anderlecht,34,30.0,27,415,136,32.8,13.83,4.53,0.07,0.2,17.6,7,0,2,42.1,40.5,0.1,-15.1,-13.5
vs Antwerp,36,30.0,30,422,155,36.7,14.07,5.17,0.07,0.18,16.7,6,2,6,45.0,40.5,0.1,-15.0,-12.5
vs Beerschot,30,30.0,58,446,153,34.3,14.87,5.1,0.11,0.31,16.4,13,10,11,55.5,47.0,0.11,2.5,1.0
vs Cercle Brugge,29,30.0,44,364,131,36.0,12.13,4.37,0.12,0.32,15.9,5,2,3,46.5,44.1,0.12,-2.5,-2.1
vs Charleroi,29,30.0,35,338,121,35.8,11.27,4.03,0.09,0.26,18.5,15,3,4,34.8,31.6,0.1,0.2,0.4
vs Club Brugge,25,30.0,34,311,102,32.8,10.37,3.4,0.1,0.3,17.6,10,3,4,34.3,31.2,0.1,-0.3,-0.2
vs Dender,27,30.0,49,445,149,33.5,14.83,4.97,0.09,0.28,17.8,15,8,8,50.4,44.2,0.1,-1.4,-3.2
vs Genk,25,30.0,33,338,102,30.2,11.27,3.4,0.09,0.3,16.9,11,2,3,35.2,32.9,0.1,-2.2,-1.9
vs Gent,36,30.0,32,451,158,35.0,15.03,5.27,0.07,0.2,17.0,6,1,1,46.7,45.9,0.1,-14.7,-14.9
vs Kortrijk,33,30.0,52,403,139,34.5,13.43,4.63,0.12,0.36,16.2,7,2,2,45.8,44.2,0.11,6.2,5.8
vs Mechelen,27,30.0,36,423,137,32.4,14.1,4.57,0.07,0.23,16.8,10,5,5,42.6,38.7,0.09,-6.6,-7.7
vs OH Leuven,31,30.0,31,405,126,31.1,13.5,4.2,0.07,0.21,17.6,15,4,5,39.5,35.6,0.09,-8.5,-8.6
vs Sint-Truiden,32,30.0,54,437,128,29.3,14.57,4.27,0.1,0.34,17.6,7,10,11,48.8,40.5,0.09,5.2,3.5
vs Standard Liège,33,30.0,34,435,136,31.3,14.5,4.53,0.08,0.25,17.2,14,0,1,42.9,41.9,0.1,-8.9,-7.9
vs Union SG,29,30.0,25,285,98,34.4,9.5,3.27,0.08,0.24,16.3,12,1,2,31.8,30.3,0.11,-6.8,-6.3
vs Westerlo,30,30.0,48,413,134,32.4,13.77,4.47,0.1,0.32,16.7,12,5,7,50.1,44.4,0.11,-2.1,-1.4
