Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Birmingham City,25,11.0,166,105,87,61,18,79,147,53.7,68,125,49,76,98,264,368,2
vs Blackburn,23,10.0,143,101,65,63,15,69,131,52.7,62,121,31,90,87,230,338,2
vs Bristol City,21,11.0,167,102,86,66,15,69,131,52.7,62,147,54,93,107,274,281,8
vs Charlton Ath,21,11.0,167,100,93,57,17,65,118,55.1,53,94,36,58,66,233,409,4
vs Coventry City,22,11.0,165,101,89,58,18,83,154,53.9,71,120,56,64,66,231,418,11
vs Derby County,25,11.0,147,87,76,53,18,56,113,49.6,57,105,26,79,74,221,352,2
vs Hull City,26,11.0,156,98,65,69,22,91,165,55.2,74,98,36,62,88,244,288,3
vs Ipswich Town,26,10.0,163,93,73,61,29,77,143,53.8,66,111,49,62,83,246,291,6
vs Leicester City,25,11.0,212,130,109,79,24,121,232,52.2,111,117,43,74,107,319,282,5
vs Middlesbrough,23,11.0,211,124,93,97,21,95,183,51.9,88,142,43,99,104,315,281,7
vs Millwall,27,11.0,155,94,82,52,21,68,129,52.7,61,135,41,94,66,221,387,9
vs Norwich City,24,11.0,178,112,77,73,28,92,186,49.5,94,106,37,69,91,269,323,4
vs Oxford United,26,11.0,176,104,74,75,27,74,142,52.1,68,123,43,80,82,258,371,6
vs Portsmouth,26,11.0,159,98,80,66,13,73,123,59.3,50,107,40,67,100,259,410,4
vs Preston,19,12.0,182,113,86,66,30,81,148,54.7,67,125,33,92,77,259,385,9
vs QPR,25,11.0,175,103,96,65,14,78,128,60.9,50,127,45,82,82,257,353,6
vs Sheffield Utd,27,12.0,203,119,96,73,34,107,175,61.1,68,144,52,92,105,308,433,4
vs Sheffield Weds,22,11.0,151,91,70,58,23,69,139,49.6,70,111,33,78,81,232,338,4
vs Southampton,27,11.0,163,99,91,63,9,76,157,48.4,81,111,40,71,76,239,383,5
vs Stoke City,19,11.0,176,123,79,76,21,88,158,55.7,70,108,46,62,94,270,367,7
vs Swansea City,20,11.0,159,107,71,71,17,74,141,52.5,67,108,32,76,103,262,297,0
vs Watford,28,11.0,204,123,90,77,37,94,180,52.2,86,113,41,72,69,273,331,8
vs West Brom,25,11.0,181,102,78,88,15,70,148,47.3,78,122,39,83,69,250,278,7
vs Wrexham,23,11.0,157,103,80,56,21,68,136,50.0,68,96,29,67,62,219,269,4
