Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Birmingham City,25,11.0,31,2,2,136,129,18,233,91,90,2,1,2,420,217,189,53.4
Blackburn,23,10.0,17,1,0,121,114,28,213,88,125,0,2,1,401,226,221,50.6
Bristol City,21,11.0,19,0,0,112,127,22,171,109,110,0,1,0,477,229,199,53.5
Charlton Ath,21,11.0,22,1,1,128,125,23,217,92,101,0,0,0,395,269,291,48.0
Coventry City,22,11.0,21,0,0,108,109,26,250,85,93,1,1,0,447,202,205,49.6
Derby County,25,11.0,32,0,0,140,96,19,210,74,104,0,2,0,403,251,244,50.7
Hull City,26,11.0,29,0,0,126,105,18,165,78,113,0,2,0,428,191,232,45.2
Ipswich Town,26,10.0,14,0,0,115,136,25,220,74,62,3,2,1,399,187,136,57.9
Leicester City,25,11.0,18,1,0,115,122,10,224,68,100,0,1,1,422,151,170,47.0
Middlesbrough,23,11.0,26,0,0,102,121,18,166,76,122,0,1,0,439,151,145,51.0
Millwall,27,11.0,24,0,0,158,98,24,220,95,129,0,0,0,467,272,233,53.9
Norwich City,24,11.0,21,1,0,99,120,21,197,92,119,1,1,0,457,164,213,43.5
Oxford United,26,11.0,16,0,0,128,119,25,177,97,133,0,0,0,423,218,208,51.2
Portsmouth,26,11.0,23,0,0,111,129,24,257,70,89,1,0,0,416,236,230,50.6
Preston,19,12.0,28,0,0,116,103,20,265,104,121,1,0,1,439,249,215,53.7
QPR,25,11.0,23,0,0,114,107,27,182,69,100,0,0,0,408,262,239,52.3
Sheffield Utd,27,12.0,20,0,0,143,139,18,252,81,109,1,1,1,465,248,248,50.0
Sheffield Weds,22,11.0,19,2,1,127,95,9,195,89,100,0,1,1,425,187,263,41.6
Southampton,27,11.0,27,0,0,137,140,21,267,80,96,1,1,1,409,153,171,47.2
Stoke City,19,11.0,20,1,1,105,96,32,236,66,80,0,0,0,441,195,194,50.1
Swansea City,20,11.0,26,1,0,120,142,29,185,88,114,1,0,0,410,166,229,42.0
Watford,28,11.0,21,1,0,125,110,15,204,91,91,0,0,1,408,226,193,53.9
West Brom,25,11.0,21,1,1,104,111,23,228,87,102,0,0,1,422,187,203,47.9
Wrexham,23,11.0,16,1,0,89,103,22,213,93,129,1,0,1,427,210,176,54.4
