Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Ajax,25,9.0,180,20.0,125,16,10,13,10,6,16,1.78,12,1,0,1,2,0
vs AZ Alkmaar,24,9.0,208,23.11,143,19,13,15,13,5,21,2.33,14,3,1,3,0,0
vs Excelsior,25,9.0,292,32.44,215,25,14,23,13,2,33,3.67,24,3,1,2,3,0
vs Feyenoord,25,9.0,126,14.0,101,8,4,6,5,2,10,1.11,8,1,0,0,1,0
vs Fortuna Sittard,21,9.0,221,24.56,156,24,13,15,11,2,21,2.33,14,2,1,2,1,1
vs Go Ahead Eag,21,9.0,314,34.89,246,13,16,28,7,4,25,2.78,18,1,1,4,1,0
vs Groningen,21,9.0,193,21.44,136,18,12,13,10,4,22,2.44,15,1,1,3,2,0
vs Heerenveen,22,10.0,186,18.6,140,19,8,8,8,3,28,2.8,18,4,2,3,1,0
vs Heracles Almelo,22,9.0,324,36.0,240,21,20,32,10,1,42,4.67,26,3,3,9,1,0
vs NAC Breda,22,10.0,271,27.1,212,17,13,11,13,5,28,2.8,19,1,2,3,3,0
vs NEC Nijmegen,24,9.0,162,18.0,108,21,11,8,8,6,31,3.44,20,2,5,2,1,1
vs PSV Eindhoven,24,9.0,179,19.89,121,18,11,15,11,3,19,2.11,14,2,0,1,2,0
vs Sparta R'dam,22,9.0,298,33.11,235,25,16,18,3,1,38,4.22,28,3,4,3,0,0
vs Telstar,22,9.0,244,27.11,173,27,13,19,9,3,29,3.22,21,2,1,2,3,0
vs Twente,23,9.0,159,17.67,109,18,9,10,8,5,23,2.56,15,3,3,2,0,0
vs Utrecht,26,9.0,171,19.0,125,13,12,11,6,4,18,2.0,15,0,0,3,0,0
vs Volendam,23,9.0,276,30.67,210,25,10,14,15,2,29,3.22,21,1,2,3,1,1
vs Zwolle,24,9.0,261,29.0,212,17,10,8,10,4,29,3.22,27,0,0,0,1,1
