Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Ajax,25,9.0,264,29.33,207,18,9,18,8,4,28,3.11,21,1,0,5,1,0
AZ Alkmaar,24,9.0,290,32.22,218,17,20,18,10,7,30,3.33,19,1,2,3,4,1
Excelsior,25,9.0,182,20.22,124,21,7,11,13,6,10,1.11,7,1,1,1,0,0
Feyenoord,25,9.0,284,31.56,212,17,24,18,6,7,37,4.11,23,1,4,7,1,1
Fortuna Sittard,21,9.0,201,22.33,150,16,10,18,5,2,20,2.22,15,1,2,2,0,0
Go Ahead Eag,21,9.0,191,21.22,145,22,3,14,7,0,20,2.22,10,5,0,3,2,0
Groningen,21,9.0,200,22.22,142,18,12,12,11,5,23,2.56,16,1,2,2,2,0
Heerenveen,22,10.0,269,26.9,199,23,19,11,14,3,32,3.2,24,2,4,0,2,0
Heracles Almelo,22,9.0,160,17.78,102,23,10,11,9,5,12,1.33,7,3,1,0,0,1
NAC Breda,22,10.0,218,21.8,147,32,8,13,14,4,20,2.0,13,2,0,4,1,0
NEC Nijmegen,24,9.0,251,27.89,190,16,17,16,10,2,42,4.67,28,5,3,4,2,0
PSV Eindhoven,24,9.0,317,35.22,255,18,15,24,3,2,47,5.22,36,3,2,4,1,1
Sparta R'dam,22,9.0,190,21.11,144,14,10,11,7,4,21,2.33,15,2,0,2,2,0
Telstar,22,9.0,225,25.0,160,21,12,19,12,1,22,2.44,16,2,0,3,1,0
Twente,23,9.0,271,30.11,204,20,12,22,11,2,31,3.44,23,1,1,3,3,0
Utrecht,26,9.0,250,27.78,183,22,16,18,11,0,33,3.67,24,1,4,3,1,0
Volendam,23,9.0,166,18.44,114,19,7,8,13,5,18,2.0,17,1,0,0,0,0
Zwolle,24,9.0,136,15.11,111,7,4,5,6,3,16,1.78,15,0,1,0,0,0
