Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atlético Mineiro,33,28.0,11461,10048,1384,428,16,54,443,526,132,50,60,1,9095,29,186
vs Bahia,30,29.0,12144,10811,1287,361,45,74,584,508,135,43,64,1,9802,46,199
vs Botafogo (RJ),38,29.0,13755,12364,1344,424,23,82,505,493,131,47,55,0,11380,47,219
vs Ceará,32,28.0,14084,12691,1330,440,28,70,636,501,155,71,59,0,11485,63,220
vs Corinthians,34,29.0,12190,10787,1362,434,20,68,447,543,124,30,60,0,9819,41,205
vs Cruzeiro,35,29.0,13278,11787,1455,424,29,141,601,575,151,62,61,0,10743,36,259
vs Flamengo,31,28.0,10793,9501,1252,408,15,106,409,462,104,36,42,0,8621,40,200
vs Fluminense,36,28.0,12551,11273,1226,343,28,72,471,481,137,61,60,1,10207,52,224
vs Fortaleza,44,28.0,13355,11935,1365,432,33,73,451,540,128,49,56,1,10940,55,231
vs Grêmio,39,29.0,14952,13551,1363,388,29,85,616,559,177,73,67,1,12427,38,252
vs Internacional,38,29.0,13875,12331,1476,462,37,141,495,610,137,55,43,1,11319,68,242
vs Juventude,43,29.0,15333,13889,1416,458,19,123,553,570,138,50,54,1,12902,28,218
vs Mirassol,33,29.0,13883,12437,1414,388,26,111,681,564,165,68,71,0,11238,32,244
vs Palmeiras,37,28.0,11632,10276,1327,416,13,66,396,491,93,24,48,2,9277,29,247
vs RB Bragantino,31,29.0,14486,12980,1464,405,18,98,656,589,182,59,74,0,11830,42,288
vs Santos,40,28.0,12743,11242,1453,449,24,95,490,589,144,47,47,0,10339,48,244
vs São Paulo,37,29.0,13076,11651,1406,433,26,78,549,555,152,57,69,1,10546,19,250
vs Sport Recife,40,28.0,12983,11574,1362,431,25,69,487,539,136,51,55,1,10559,47,208
vs Vasco da Gama,37,29.0,12338,10944,1353,389,31,58,567,537,147,51,60,2,9906,41,208
vs Vitória,38,29.0,15433,13994,1394,452,27,85,678,556,143,47,62,1,12889,45,231
