Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atlético Mineiro,28,13.0,202,135,103,80,19,98,201,48.8,103,168,75,93,115,317,370,5
vs Bahia,27,13.0,219,124,101,85,33,98,204,48.0,106,125,36,89,90,309,311,6
vs Botafogo (RJ),30,13.0,171,108,89,65,17,75,154,48.7,79,116,42,74,114,285,349,8
vs Ceará,27,13.0,199,130,77,90,32,86,159,54.1,73,114,27,87,98,297,340,6
vs Corinthians,30,14.0,224,155,105,93,26,105,190,55.3,85,137,33,104,141,365,324,6
vs Cruzeiro,29,14.0,243,157,100,108,35,137,243,56.4,106,146,45,101,113,356,348,6
vs Flamengo,25,13.0,232,135,130,82,20,106,221,48.0,115,139,43,96,95,327,352,7
vs Fluminense,28,12.0,230,143,119,83,28,92,185,49.7,93,112,36,76,117,347,328,6
vs Fortaleza,32,13.0,187,122,89,76,22,83,162,51.2,79,116,52,64,85,272,372,13
vs Grêmio,31,13.0,245,150,112,106,27,114,232,49.1,118,125,38,87,115,360,317,6
vs Internacional,32,13.0,234,175,114,96,24,88,209,42.1,121,141,57,84,129,363,370,4
vs Juventude,32,12.0,201,125,85,91,25,90,169,53.3,79,120,30,90,83,284,313,8
vs Mirassol,27,12.0,212,119,81,101,30,107,196,54.6,89,141,48,93,117,329,284,5
vs Palmeiras,27,12.0,238,163,123,93,22,148,243,60.9,95,123,51,72,86,324,418,7
vs RB Bragantino,24,14.0,241,162,126,85,30,131,269,48.7,138,141,50,91,115,356,302,6
vs Santos,31,13.0,215,144,93,93,29,111,226,49.1,115,141,49,92,90,305,318,10
vs São Paulo,28,14.0,249,164,117,99,33,136,240,56.7,104,160,51,109,117,366,342,6
vs Sport Recife,30,12.0,224,141,107,85,32,96,189,50.8,93,143,50,93,107,331,347,7
vs Vasco da Gama,28,13.0,185,122,84,66,35,103,210,49.0,107,136,34,102,88,273,283,4
vs Vitória,29,14.0,221,143,106,80,35,112,223,50.2,111,132,47,85,90,311,389,9
