Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alavés,22,9.0,4264,3769,474,145,11,23,179,190,59,16,26,0,3321,21,80
Athletic Club,24,9.0,4379,3908,463,159,9,31,224,180,57,22,17,1,3474,8,85
Atlético Madrid,22,9.0,5186,4775,394,101,24,36,190,148,55,19,25,0,4378,17,81
Barcelona,25,9.0,6197,5757,423,138,19,17,142,165,67,34,4,0,5471,17,83
Betis,25,9.0,4738,4295,431,155,14,45,158,138,47,21,17,0,3946,12,80
Celta Vigo,24,9.0,5110,4659,437,122,32,25,145,179,50,16,24,0,4321,14,90
Elche,26,9.0,5171,4742,416,167,5,23,140,139,32,5,4,0,4416,13,63
Espanyol,22,9.0,3656,3256,387,100,9,18,205,168,38,16,16,2,2838,13,56
Getafe,23,9.0,2919,2429,467,148,1,30,132,192,33,9,15,1,1992,23,66
Girona,27,9.0,3886,3433,434,121,12,24,134,153,36,16,17,0,3154,19,64
Levante,24,9.0,3400,2963,419,111,16,25,114,166,28,9,8,0,2609,18,70
Mallorca,24,9.0,3628,3205,412,129,2,22,157,152,33,21,8,1,2820,11,79
Osasuna,20,9.0,3852,3446,396,111,9,36,132,159,19,7,10,0,2977,10,68
Oviedo,26,9.0,3831,3400,412,103,9,35,124,179,31,19,7,0,3095,19,62
Rayo Vallecano,24,9.0,4446,4000,426,96,17,28,187,177,57,19,29,0,3576,20,98
Real Madrid,22,9.0,5933,5510,409,135,19,52,120,156,46,15,11,0,5247,14,66
Real Sociedad,26,10.0,4869,4386,459,114,19,31,217,186,69,40,5,0,3877,24,99
Sevilla,28,10.0,4604,4105,467,147,9,51,165,196,47,21,16,1,3646,32,89
Valencia,21,9.0,3831,3396,425,121,12,28,141,161,44,7,32,0,3004,10,68
Villarreal,25,9.0,4221,3806,397,98,22,19,148,163,47,34,3,0,3505,18,50
