Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,22,9.0,24,1,0,133,138,18,148,67,96,0,3,1,353,170,180,48.6
vs Athletic Club,24,9.0,23,1,1,123,122,39,131,99,92,0,3,1,413,113,115,49.6
vs Atlético Madrid,22,9.0,25,0,0,104,94,6,147,70,85,1,2,1,325,124,123,50.2
vs Barcelona,25,9.0,28,2,1,105,79,44,104,60,96,1,2,1,307,81,116,41.1
vs Betis,25,9.0,23,1,0,132,73,26,178,77,95,1,0,1,418,112,128,46.7
vs Celta Vigo,24,9.0,22,1,1,107,99,18,155,81,91,0,1,0,384,72,69,51.1
vs Elche,26,9.0,20,0,0,157,106,14,162,61,92,0,1,0,396,116,82,58.6
vs Espanyol,22,9.0,23,0,0,98,105,11,168,64,73,1,3,0,354,168,127,56.9
vs Getafe,23,9.0,22,1,0,128,136,24,145,43,94,0,0,0,349,170,115,59.6
vs Girona,27,9.0,9,0,0,115,82,8,182,56,92,2,0,0,352,108,92,54.0
vs Levante,24,9.0,16,2,1,111,117,7,218,66,90,1,1,0,334,123,112,52.3
vs Mallorca,24,9.0,19,2,0,119,102,15,174,52,74,2,1,0,348,124,127,49.4
vs Osasuna,20,9.0,15,1,0,96,103,20,180,59,76,1,1,0,395,109,172,38.8
vs Oviedo,26,9.0,11,0,0,94,97,11,188,80,90,1,1,0,364,100,127,44.1
vs Rayo Vallecano,24,9.0,11,1,0,92,116,8,146,71,78,2,1,0,397,116,78,59.8
vs Real Madrid,22,9.0,18,4,2,139,83,6,134,75,91,1,3,0,336,79,110,41.8
vs Real Sociedad,26,10.0,21,2,1,110,156,12,120,82,88,1,2,0,357,139,144,49.1
vs Sevilla,28,10.0,19,1,0,142,151,11,168,63,101,3,1,1,397,117,150,43.8
vs Valencia,21,9.0,16,4,2,94,106,31,161,73,79,0,1,0,353,128,117,52.2
vs Villarreal,25,9.0,15,2,2,98,97,4,145,62,90,2,0,0,325,92,79,53.8
