Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,22,9.0,155,17.22,102,19,15,8,9,2,11,1.22,5,0,2,4,0,0
vs Athletic Club,24,9.0,149,16.56,113,10,13,11,0,2,15,1.67,12,1,1,1,0,0
vs Atlético Madrid,22,9.0,137,15.22,96,15,8,6,12,0,18,2.0,12,1,1,2,2,0
vs Barcelona,25,9.0,115,12.78,79,14,5,8,6,3,17,1.89,10,2,2,2,1,0
vs Betis,25,9.0,167,18.56,124,17,11,9,2,4,15,1.67,7,1,4,2,0,1
vs Celta Vigo,24,9.0,186,20.67,139,22,6,10,4,5,18,2.0,13,2,1,2,0,0
vs Elche,26,9.0,170,18.89,128,14,11,6,8,3,14,1.56,11,0,1,1,0,1
vs Espanyol,22,9.0,211,23.44,158,19,12,14,7,1,21,2.33,17,1,0,0,3,0
vs Getafe,23,9.0,186,20.67,140,22,7,3,12,2,19,2.11,16,2,0,1,0,0
vs Girona,27,9.0,280,31.11,210,19,17,16,11,7,31,3.44,22,0,3,1,3,2
vs Levante,24,9.0,272,30.22,206,20,15,19,7,5,29,3.22,20,3,3,0,2,1
vs Mallorca,24,9.0,240,26.67,189,19,12,9,7,4,24,2.67,19,0,1,2,2,0
vs Osasuna,20,9.0,212,23.56,167,13,16,8,6,2,14,1.56,10,0,2,1,1,0
vs Oviedo,26,9.0,291,32.33,216,21,9,30,9,6,26,2.89,14,4,1,5,1,1
vs Rayo Vallecano,24,9.0,174,19.33,131,11,15,8,7,2,19,2.11,11,1,2,2,2,1
vs Real Madrid,22,9.0,156,17.33,113,17,5,10,9,2,15,1.67,8,2,0,3,2,0
vs Real Sociedad,26,10.0,213,21.3,144,19,22,15,11,2,25,2.5,18,2,2,0,2,1
vs Sevilla,28,10.0,197,19.7,128,22,16,18,9,4,28,2.8,19,2,3,0,3,1
vs Valencia,21,9.0,222,24.67,171,20,8,12,9,2,27,3.0,22,3,1,1,0,0
vs Villarreal,25,9.0,189,21.0,139,13,10,11,12,4,18,2.0,15,0,2,0,1,0
