Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,22,9.0,165,96,73,73,19,67,141,47.5,74,96,28,68,77,242,224,4
Athletic Club,24,9.0,125,78,36,61,28,65,138,47.1,73,91,20,71,66,191,179,8
Atlético Madrid,22,9.0,127,75,64,48,15,72,137,52.6,65,65,13,52,74,201,174,6
Barcelona,25,9.0,142,87,57,59,26,61,104,58.7,43,80,15,65,52,194,163,3
Betis,25,9.0,153,87,74,58,21,71,151,47.0,80,81,18,63,76,229,302,6
Celta Vigo,24,9.0,154,91,69,57,28,76,133,57.1,57,83,26,57,56,210,221,6
Elche,26,9.0,149,84,80,56,13,74,122,60.7,48,80,32,48,77,226,215,6
Espanyol,22,9.0,131,87,69,45,17,67,140,47.9,73,91,34,57,61,192,223,3
Getafe,23,9.0,170,114,90,62,18,95,164,57.9,69,99,19,80,77,247,279,4
Girona,27,9.0,115,67,68,41,6,50,116,43.1,66,93,37,56,72,187,239,13
Levante,24,9.0,155,83,70,65,20,83,152,54.6,69,110,40,70,57,212,269,4
Mallorca,24,9.0,138,68,81,46,11,74,132,56.1,58,110,35,75,58,196,251,5
Osasuna,20,9.0,137,82,84,50,3,73,130,56.2,57,96,29,67,74,211,279,4
Oviedo,26,9.0,147,96,91,50,6,83,142,58.5,59,99,47,52,62,209,288,12
Rayo Vallecano,24,9.0,159,85,81,66,12,78,157,49.7,79,120,35,85,81,240,222,5
Real Madrid,22,9.0,155,88,56,67,32,72,118,61.0,46,92,33,59,59,214,167,5
Real Sociedad,26,10.0,167,100,89,63,15,86,180,47.8,94,100,32,68,67,234,218,6
Sevilla,28,10.0,184,118,83,78,23,98,179,54.7,81,108,31,77,80,264,268,8
Valencia,21,9.0,138,70,74,51,13,66,115,57.4,49,81,32,49,61,199,259,3
Villarreal,25,9.0,170,107,83,65,22,108,175,61.7,67,110,37,73,74,244,182,8
