Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,22,7.0,5,0,0,66,67,7,123,63,58,1,0,0,282,97,91,51.6
vs Bologna,25,7.0,19,1,0,106,100,12,83,51,80,0,2,0,251,97,95,50.5
vs Cagliari,23,7.0,13,0,0,108,107,10,143,48,65,0,1,0,267,90,77,53.9
vs Como,22,7.0,19,0,0,100,111,14,100,67,75,0,0,0,263,67,94,41.6
vs Cremonese,26,7.0,11,1,0,92,82,13,139,43,58,1,1,0,264,102,91,52.8
vs Fiorentina,22,7.0,15,0,0,122,98,6,105,38,72,2,0,0,255,99,87,53.2
vs Genoa,23,7.0,15,2,1,98,103,13,90,49,54,0,1,0,244,126,103,55.0
vs Hellas Verona,25,7.0,14,0,0,62,112,6,108,46,47,1,1,0,263,142,106,57.3
vs Inter,24,7.0,11,0,0,72,103,11,102,52,40,0,0,1,202,82,106,43.6
vs Juventus,22,7.0,16,1,1,87,78,4,115,53,56,1,0,0,243,92,93,49.7
vs Lazio,24,7.0,21,0,0,121,75,10,122,65,69,0,1,0,248,74,83,47.1
vs Lecce,22,7.0,10,0,0,98,83,16,115,46,72,2,0,0,279,107,113,48.6
vs Milan,24,8.0,17,0,0,104,73,9,161,55,68,1,2,0,274,81,82,49.7
vs Napoli,24,7.0,11,2,1,92,84,6,75,61,71,0,2,0,245,78,101,43.6
vs Parma,20,7.0,14,1,0,98,79,18,124,47,56,1,1,0,266,121,116,51.1
vs Pisa,25,8.0,10,0,0,97,103,13,168,43,75,0,2,1,300,121,145,45.5
vs Roma,22,7.0,16,2,0,125,103,11,97,61,75,0,0,0,299,113,108,51.1
vs Sassuolo,25,7.0,15,0,0,107,85,5,132,41,63,1,2,0,252,104,92,53.1
vs Torino,24,7.0,12,0,0,79,93,10,124,51,59,1,1,0,251,118,102,53.6
vs Udinese,26,7.0,10,0,0,87,85,13,120,36,63,0,1,0,226,95,121,44.0
