Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atalanta,22,26.6,45.9,7,77,630,7.0,4,1,5,4,0,1,5,0,6.1,5.3,3.7,9.0,108,216,0.57,0.14,0.71,0.57,0.71,0.87,0.53,1.4,0.75,1.29
vs Bologna,25,26.3,43.1,7,77,630,7.0,5,3,8,5,0,0,19,1,5.9,5.9,4.1,10.0,85,154,0.71,0.43,1.14,0.71,1.14,0.85,0.59,1.43,0.85,1.43
vs Cagliari,23,27.2,57.0,7,77,630,7.0,8,8,16,8,0,0,13,0,11.9,11.9,10.5,22.4,131,292,1.14,1.14,2.29,1.14,2.29,1.7,1.5,3.2,1.7,3.2
vs Como,22,27.1,44.1,7,77,630,7.0,5,1,6,5,0,0,19,0,6.7,6.7,4.3,11.0,99,198,0.71,0.14,0.86,0.71,0.86,0.96,0.62,1.57,0.96,1.57
vs Cremonese,26,26.8,55.1,7,77,630,7.0,9,8,17,8,1,1,11,1,11.0,10.2,8.5,18.6,132,296,1.29,1.14,2.43,1.14,2.29,1.57,1.21,2.77,1.45,2.66
vs Fiorentina,22,27.1,49.9,7,77,630,7.0,10,8,18,8,2,2,15,0,10.2,9.1,7.4,16.6,119,220,1.43,1.14,2.57,1.14,2.29,1.45,1.06,2.51,1.31,2.37
vs Genoa,23,26.9,49.4,7,77,630,7.0,9,5,14,8,1,1,15,2,7.2,6.4,4.3,10.6,71,166,1.29,0.71,2.0,1.14,1.86,1.02,0.61,1.63,0.91,1.52
vs Hellas Verona,25,26.9,59.1,7,77,630,7.0,9,7,16,9,0,1,14,0,8.7,7.8,6.0,13.7,114,290,1.29,1.0,2.29,1.29,2.29,1.25,0.85,2.1,1.11,1.96
vs Inter,24,26.9,40.9,7,77,630,7.0,8,7,15,7,1,1,11,0,5.7,5.0,4.7,9.6,78,192,1.14,1.0,2.14,1.0,2.0,0.81,0.67,1.48,0.71,1.37
vs Juventus,22,27.2,42.1,7,77,630,7.0,7,5,12,6,1,2,16,1,7.5,5.9,4.6,10.6,100,176,1.0,0.71,1.71,0.86,1.57,1.08,0.66,1.73,0.85,1.51
vs Lazio,24,26.4,51.4,7,77,630,7.0,7,5,12,7,0,0,21,0,9.9,9.9,7.8,17.7,121,266,1.0,0.71,1.71,1.0,1.71,1.41,1.11,2.53,1.41,2.53
vs Lecce,22,26.3,56.0,7,77,630,7.0,10,6,16,8,2,2,10,0,9.0,7.5,5.4,12.8,92,222,1.43,0.86,2.29,1.14,2.0,1.29,0.77,2.06,1.06,1.83
vs Milan,24,27.3,46.5,8,88,720,8.0,6,3,9,4,2,2,17,0,7.2,6.2,4.1,10.3,130,288,0.75,0.37,1.13,0.5,0.87,0.9,0.52,1.42,0.77,1.29
vs Napoli,24,26.7,37.3,7,77,630,7.0,7,4,11,6,1,1,11,2,8.2,7.6,5.5,13.1,84,134,1.0,0.57,1.57,0.86,1.43,1.17,0.79,1.96,1.09,1.88
vs Parma,20,26.7,55.4,7,77,630,7.0,7,5,12,7,0,1,14,1,7.7,6.9,5.4,12.4,98,256,1.0,0.71,1.71,1.0,1.71,1.11,0.77,1.88,0.99,1.77
vs Pisa,25,27.3,60.9,8,88,720,8.0,12,9,21,12,0,0,10,0,12.4,12.4,9.4,21.8,188,395,1.5,1.13,2.62,1.5,2.62,1.55,1.17,2.72,1.55,2.72
vs Roma,22,28.3,41.1,7,77,630,7.0,3,3,6,3,0,0,16,2,5.8,5.8,5.3,11.1,75,185,0.43,0.43,0.86,0.43,0.86,0.83,0.76,1.58,0.83,1.58
vs Sassuolo,25,27.5,55.7,7,77,630,7.0,7,4,11,6,1,1,15,0,9.5,8.7,6.6,15.2,110,304,1.0,0.57,1.57,0.86,1.43,1.35,0.94,2.29,1.24,2.18
vs Torino,24,27.5,57.4,7,77,630,7.0,13,10,23,11,2,2,12,0,10.7,9.1,7.1,16.2,134,289,1.86,1.43,3.29,1.57,3.0,1.52,1.02,2.54,1.3,2.31
vs Udinese,26,27.4,50.4,7,77,630,7.0,10,9,19,10,0,0,10,0,7.5,7.5,5.8,13.4,88,218,1.43,1.29,2.71,1.43,2.71,1.08,0.83,1.91,1.08,1.91
