Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atalanta,1,7,7,630,7.0,11,1.57,33,22,66.7,0,5,2,1,14.3,0,0,0,0,
vs Bologna,2,7,7,630,7.0,11,1.57,29,18,69.0,2,1,4,2,28.6,2,2,0,0,0.0
vs Cagliari,1,7,7,630,7.0,6,0.86,22,16,77.3,3,2,2,3,42.9,1,1,0,0,0.0
vs Como,1,7,7,630,7.0,9,1.29,35,26,74.3,1,3,3,1,14.3,0,0,0,0,
vs Cremonese,2,7,7,630,7.0,8,1.14,19,11,63.2,1,4,2,2,28.6,1,1,0,0,0.0
vs Fiorentina,1,7,7,630,7.0,5,0.71,14,9,64.3,4,3,0,2,28.6,0,0,0,0,
vs Genoa,1,7,7,630,7.0,3,0.43,24,20,87.5,4,3,0,4,57.1,1,0,1,0,100.0
vs Hellas Verona,1,7,7,630,7.0,2,0.29,35,33,97.1,3,4,0,5,71.4,1,1,0,0,0.0
vs Inter,2,7,7,630,7.0,18,2.57,39,22,53.8,2,0,5,0,0.0,0,0,0,0,
vs Juventus,1,7,7,630,7.0,9,1.29,35,26,74.3,1,3,3,2,28.6,0,0,0,0,
vs Lazio,1,7,7,630,7.0,10,1.43,22,12,59.1,3,2,2,4,57.1,1,1,0,0,0.0
vs Lecce,1,7,7,630,7.0,5,0.71,19,14,73.7,3,3,1,3,42.9,0,0,0,0,
vs Milan,2,8,8,720,8.0,13,1.62,38,25,68.4,1,2,5,1,12.5,2,1,0,1,0.0
vs Napoli,2,7,7,630,7.0,12,1.71,41,29,75.6,2,0,5,1,14.3,2,2,0,0,0.0
vs Parma,1,7,7,630,7.0,3,0.43,16,13,87.5,3,3,1,5,71.4,1,1,0,0,0.0
vs Pisa,1,8,8,720,8.0,5,0.62,16,12,81.3,4,4,0,5,62.5,2,2,0,0,0.0
vs Roma,1,7,7,630,7.0,7,1.0,33,26,78.8,2,0,5,2,28.6,0,0,0,0,
vs Sassuolo,2,7,7,630,7.0,8,1.14,26,17,73.1,3,1,3,2,28.6,2,1,1,0,50.0
vs Torino,1,7,7,630,7.0,6,0.86,31,24,80.6,3,2,2,3,42.9,1,0,1,0,100.0
vs Udinese,2,7,7,630,7.0,7,1.0,26,19,76.9,2,3,2,1,14.3,1,1,0,0,0.0
