Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alverca,25,9.0,4246,3794,444,123,4,32,189,210,41,25,6,0,3457,8,62
vs Arouca,22,8.0,3448,3028,396,116,12,25,160,155,43,23,12,0,2729,24,62
vs AVS Futebol,26,8.0,3992,3567,413,133,11,37,149,154,40,21,7,1,3208,12,59
vs Benfica,24,8.0,2876,2504,368,106,3,17,126,145,31,16,12,0,2205,4,54
vs Braga,23,8.0,2825,2464,343,83,15,27,85,157,22,9,11,0,2048,18,59
vs Casa Pia,25,8.0,3641,3171,454,127,16,15,139,203,43,19,17,0,2876,16,71
vs Estoril,20,8.0,3439,2984,422,108,8,25,170,181,42,23,7,1,2577,33,54
vs Estrela,27,8.0,3230,2789,429,111,9,22,144,204,36,18,12,1,2500,12,62
vs Famalicão,22,8.0,3358,2905,437,156,12,26,138,154,38,25,7,0,2650,16,60
vs Gil Vicente FC,23,9.0,4062,3580,468,144,7,22,165,202,37,19,9,0,3220,14,81
vs Moreirense,23,8.0,3666,3292,363,124,11,19,159,143,35,20,7,0,2921,11,62
vs Nacional,23,8.0,3609,3186,417,131,11,17,141,168,47,28,9,1,2812,6,81
vs Porto,23,8.0,3252,2854,391,119,5,24,107,144,27,11,12,0,2537,7,73
vs Rio Ave,25,8.0,4231,3803,417,126,11,15,218,168,63,30,18,0,3451,11,72
vs Santa Clara,22,8.0,3723,3335,381,119,10,28,135,165,24,14,8,0,2963,7,73
vs Sporting CP,22,8.0,3089,2701,378,112,4,10,85,128,26,7,11,0,2427,10,57
vs Tondela,25,8.0,3662,3214,438,138,17,22,140,169,45,25,15,1,2902,10,77
vs Vitória,27,8.0,3446,3026,413,126,4,17,110,164,26,11,5,0,2743,7,61
