Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alverca,25,9.0,3524,3075,439,138,12,27,120,184,22,7,9,0,2750,10,62
Arouca,22,8.0,3399,2968,426,125,8,24,135,166,32,20,9,0,2709,5,71
AVS Futebol,26,8.0,3081,2650,420,106,1,22,159,184,27,18,7,0,2293,11,60
Benfica,24,8.0,4356,3956,391,114,14,28,159,162,38,21,12,0,3649,9,76
Braga,23,8.0,5245,4802,433,116,8,26,175,206,49,19,18,2,4425,10,86
Casa Pia,25,8.0,2947,2537,398,139,10,18,135,140,34,20,7,0,2169,12,59
Estoril,20,8.0,3451,2997,444,135,7,12,94,179,26,14,10,0,2613,10,61
Estrela,27,8.0,3103,2684,407,134,10,37,138,153,33,17,2,0,2380,12,59
Famalicão,22,8.0,3358,2899,446,152,9,25,168,171,50,23,12,0,2563,13,69
Gil Vicente FC,23,9.0,3415,2940,464,136,6,24,144,193,47,30,10,0,2571,11,63
Moreirense,23,8.0,3566,3161,393,123,7,14,122,145,33,15,13,0,2876,12,61
Nacional,23,8.0,2722,2311,393,91,14,19,145,185,39,19,17,0,1912,18,77
Porto,23,8.0,3948,3597,339,81,7,12,125,152,48,19,13,0,3291,12,73
Rio Ave,25,8.0,3204,2824,372,128,10,22,94,110,28,16,7,1,2553,8,44
Santa Clara,22,8.0,3417,2966,437,136,7,23,143,183,39,26,10,1,2667,14,62
Sporting CP,22,8.0,4495,4110,368,123,24,27,135,143,53,31,4,0,3784,17,64
Tondela,25,8.0,3135,2732,375,106,10,14,191,166,32,16,11,1,2359,28,68
Vitória,27,8.0,3429,2988,427,119,6,26,178,192,36,13,14,0,2662,14,65
