Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alverca,25,9.0,161,112,92,57,12,74,130,56.9,56,82,30,52,75,236,265,7
Arouca,22,8.0,108,69,52,42,14,52,109,47.7,57,84,32,52,46,154,233,6
AVS Futebol,26,8.0,130,82,68,49,13,57,105,54.3,48,76,25,51,63,193,221,5
Benfica,24,8.0,133,76,60,49,24,73,148,49.3,75,63,17,46,58,191,177,8
Braga,23,8.0,106,58,27,52,27,49,106,46.2,57,76,16,60,56,162,174,4
Casa Pia,25,8.0,140,96,73,54,13,79,140,56.4,61,90,30,60,55,195,243,8
Estoril,20,8.0,117,77,66,39,12,59,120,49.2,61,68,19,49,52,169,233,6
Estrela,27,8.0,112,71,53,49,10,61,103,59.2,42,80,29,51,57,169,219,6
Famalicão,22,8.0,135,81,55,63,17,76,139,54.7,63,69,21,48,49,184,239,4
Gil Vicente FC,23,9.0,148,99,74,54,20,72,133,54.1,61,82,15,67,63,211,240,3
Moreirense,23,8.0,115,66,59,41,15,77,141,54.6,64,79,30,49,66,181,268,6
Nacional,23,8.0,122,72,60,52,10,58,97,59.8,39,107,35,72,84,206,253,6
Porto,23,8.0,93,64,29,45,19,45,102,44.1,57,100,30,70,58,151,137,6
Rio Ave,25,8.0,122,76,71,42,9,51,112,45.5,61,96,34,62,72,194,307,5
Santa Clara,22,8.0,104,65,50,44,10,50,102,49.0,52,73,8,65,64,168,231,3
Sporting CP,22,8.0,129,84,49,55,25,65,117,55.6,52,71,18,53,52,181,125,3
Tondela,25,8.0,148,87,66,66,16,86,178,48.3,92,104,31,73,77,225,207,1
Vitória,27,8.0,111,66,48,47,16,58,104,55.8,46,71,20,51,67,178,191,6
