Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alverca,25,9.0,196,21.78,132,26,10,13,14,1,29,3.22,19,2,2,3,3,0
vs Arouca,22,8.0,209,26.12,137,21,16,13,17,5,34,4.25,26,0,2,2,3,1
vs AVS Futebol,26,8.0,198,24.75,155,10,12,10,10,1,37,4.62,26,2,4,3,2,0
vs Benfica,24,8.0,141,17.62,88,12,17,12,11,1,8,1.0,6,1,0,0,1,0
vs Braga,23,8.0,130,16.25,90,9,13,12,4,2,15,1.87,11,1,1,1,1,0
vs Casa Pia,25,8.0,176,22.0,112,22,9,18,11,4,18,2.25,9,2,2,2,1,2
vs Estoril,20,8.0,173,21.62,116,17,13,14,10,3,21,2.62,10,1,1,4,4,1
vs Estrela,27,8.0,170,21.25,119,19,9,10,10,3,13,1.62,8,2,0,0,3,0
vs Famalicão,22,8.0,145,18.12,93,21,10,8,8,5,7,0.87,5,0,0,1,1,0
vs Gil Vicente FC,23,9.0,174,19.33,111,24,7,10,20,2,8,0.89,5,1,0,1,1,0
vs Moreirense,23,8.0,191,23.87,125,16,13,15,19,3,16,2.0,7,2,2,0,5,0
vs Nacional,23,8.0,184,23.0,126,16,7,16,18,1,21,2.62,18,1,0,1,1,0
vs Porto,23,8.0,135,16.88,92,11,7,10,9,6,0,0.0,0,0,0,0,0,0
vs Rio Ave,25,8.0,256,32.0,199,24,10,14,4,5,24,3.0,17,3,3,1,0,0
vs Santa Clara,22,8.0,138,17.25,114,7,5,3,7,2,17,2.12,13,1,1,2,0,0
vs Sporting CP,22,8.0,104,13.0,67,16,9,2,8,2,8,1.0,4,2,0,0,2,0
vs Tondela,25,8.0,191,23.87,134,13,18,16,9,1,22,2.75,13,2,3,2,2,0
vs Vitória,27,8.0,165,20.62,110,18,8,14,11,4,17,2.12,8,2,2,4,1,0
