Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alverca,25,9.0,139,15.44,97,10,9,7,15,1,17,1.89,12,0,2,1,2,0
Arouca,22,8.0,143,17.87,112,13,6,2,7,3,19,2.37,17,1,1,0,0,0
AVS Futebol,26,8.0,140,17.5,91,19,8,7,11,4,9,1.13,6,0,1,1,0,1
Benfica,24,8.0,212,26.5,155,16,14,14,12,1,23,2.87,14,1,2,3,3,0
Braga,23,8.0,199,24.87,145,23,4,13,11,3,20,2.5,12,1,1,2,4,0
Casa Pia,25,8.0,138,17.25,85,24,4,10,15,0,12,1.5,9,1,0,1,1,0
Estoril,20,8.0,165,20.62,115,20,10,12,7,1,15,1.87,9,2,2,2,0,0
Estrela,27,8.0,151,18.87,104,13,6,13,12,3,11,1.37,8,0,0,2,1,0
Famalicão,22,8.0,182,22.75,139,18,11,5,8,1,14,1.75,9,2,2,0,1,0
Gil Vicente FC,23,9.0,213,23.67,131,23,16,23,14,6,21,2.33,14,2,2,0,3,0
Moreirense,23,8.0,131,16.37,88,13,7,10,10,3,21,2.62,15,1,2,2,0,1
Nacional,23,8.0,149,18.62,94,16,11,10,12,6,14,1.75,6,3,2,0,2,1
Porto,23,8.0,200,25.0,139,17,19,16,6,3,31,3.87,17,4,4,5,1,0
Rio Ave,25,8.0,142,17.75,101,5,13,15,7,1,17,2.12,13,1,1,1,1,0
Santa Clara,22,8.0,153,19.13,91,18,17,13,13,1,12,1.5,4,3,0,1,4,0
Sporting CP,22,8.0,259,32.37,192,13,19,18,10,7,38,4.75,29,1,1,1,5,1
Tondela,25,8.0,171,21.38,117,18,10,10,12,4,7,0.87,3,1,0,2,1,0
Vitória,27,8.0,189,23.63,124,23,9,12,18,3,14,1.75,8,1,0,3,2,0
